=== Recap ===
Reg             Train   Dev     Test
1.00E-04        39.876  36.512  37.059
1.15E-04        39.864  36.421  37.059
1.32E-04        39.876  36.512  37.014
1.52E-04        39.864  36.512  37.014
1.75E-04        39.876  36.512  37.059
2.01E-04        39.864  36.512  37.059
2.31E-04        39.864  36.512  37.059
2.66E-04        39.853  36.512  37.014
3.05E-04        39.876  36.421  37.059
3.51E-04        39.853  36.421  37.059
4.04E-04        39.853  36.512  37.014
4.64E-04        39.806  36.421  36.968
5.34E-04        39.864  36.512  37.014
6.14E-04        39.806  36.603  37.014
7.05E-04        39.841  36.512  37.059
8.11E-04        39.864  36.512  37.014
9.33E-04        39.829  36.512  37.059
1.07E-03        39.876  36.512  37.014
1.23E-03        39.864  36.512  37.014
1.42E-03        39.853  36.512  37.059
1.63E-03        39.806  36.603  36.968
1.87E-03        39.794  36.603  36.968
2.15E-03        39.794  36.603  36.968
2.48E-03        39.841  36.512  37.104
2.85E-03        39.817  36.603  36.923
3.27E-03        39.864  36.512  37.014
3.76E-03        39.864  36.512  37.014
4.33E-03        39.841  36.603  37.014
4.98E-03        39.841  36.421  36.968
5.72E-03        39.853  36.331  37.014
6.58E-03        39.876  36.421  37.104
7.56E-03        39.888  36.421  37.149
8.70E-03        39.864  36.512  37.104
1.00E-02        39.853  36.603  37.240
1.15E-02        39.829  36.694  37.240
1.32E-02        39.794  36.785  37.195
1.52E-02        39.806  36.603  37.195
1.75E-02        39.782  36.694  37.330
2.01E-02        39.782  36.785  37.376
2.31E-02        39.841  36.694  37.285
2.66E-02        39.771  36.603  37.330
3.05E-02        39.794  36.421  37.240
3.51E-02        39.759  36.240  37.240
4.04E-02        39.724  36.421  37.330
4.64E-02        39.782  36.421  37.421
5.34E-02        39.794  36.331  37.511
6.14E-02        39.794  36.331  37.285
7.05E-02        39.771  36.240  37.149
8.11E-02        39.841  36.421  37.149
9.33E-02        39.806  36.421  37.014
1.07E-01        39.853  36.331  37.014
1.23E-01        39.864  36.512  37.104
1.42E-01        39.864  36.512  37.240
1.63E-01        39.782  36.512  37.149
1.87E-01        39.794  36.512  37.104
2.15E-01        39.700  36.331  37.014
2.48E-01        39.548  36.603  37.059
2.85E-01        39.513  36.421  37.104
3.27E-01        39.560  36.421  37.195
3.76E-01        39.583  36.421  37.240
4.33E-01        39.583  36.240  37.195
4.98E-01        39.560  36.331  37.466
5.72E-01        39.595  36.331  37.511
6.58E-01        39.537  36.240  37.511
7.56E-01        39.443  36.512  37.330
8.70E-01        39.466  36.421  37.285
1.00E+00        39.490  36.512  37.330
1.15E+00        39.455  36.512  37.466
1.32E+00        39.443  36.512  37.557
1.52E+00        39.408  36.512  37.376
1.75E+00        39.431  36.512  37.104
2.01E+00        39.326  36.512  37.149
2.31E+00        39.373  36.603  37.330
2.66E+00        39.267  36.694  37.511
3.05E+00        39.174  36.876  37.330
3.51E+00        39.068  36.876  37.421
4.04E+00        39.068  36.966  37.376
4.64E+00        38.940  36.694  37.511
5.34E+00        39.022  36.785  37.466
6.14E+00        38.940  36.785  37.647
7.05E+00        38.893  36.966  37.828
8.11E+00        38.834  36.785  37.964
9.33E+00        38.635  36.785  37.964
1.07E+01        38.612  36.876  37.828
1.23E+01        38.600  37.239  37.421
1.42E+01        38.343  37.057  37.466
1.63E+01        38.284  36.876  37.330
1.87E+01        38.097  36.876  37.104
2.15E+01        38.062  36.876  37.014
2.48E+01        37.863  36.512  37.014
2.85E+01        37.699  36.785  36.923
3.27E+01        37.488  36.966  36.606
3.76E+01        37.523  36.694  36.471
4.33E+01        37.336  36.512  36.425
4.98E+01        37.137  36.331  36.380
5.72E+01        36.985  36.149  36.199
6.58E+01        36.833  35.695  36.154
7.56E+01        36.634  35.786  35.928
8.70E+01        36.482  35.150  35.656
1.00E+02        36.259  34.877  35.701

Best regularization value: 1.23E+01
Test accuracy (%): 37.420814
